Data;Acumulado;Casos;Obitos
01/08/2022;5920259;813;3
02/08/2022;5927119;6860;89
03/08/2022;5933089;5970;66
04/08/2022;5938736;5647;58
05/08/2022;5944141;5405;77
06/08/2022;5948320;4179;79
07/08/2022;5949473;1153;22
08/08/2022;5950313;840;8
09/08/2022;5955410;5097;72
10/08/2022;5960782;5372;66
11/08/2022;5965286;4504;39
12/08/2022;5968917;3631;44
13/08/2022;5973090;4173;71
14/08/2022;5973904;814;14
15/08/2022;5974191;287;16
16/08/2022;5979460;5269;53
17/08/2022;5984410;4950;70
18/08/2022;5989405;4995;48
19/08/2022;5993376;3971;33
20/08/2022;5997822;4446;46
21/08/2022;5999264;1442;2
22/08/2022;5999806;542;3
23/08/2022;6004283;4477;56
24/08/2022;6008751;4468;16
25/08/2022;6013105;4354;24
26/08/2022;6016839;3734;28
27/08/2022;6020485;3646;21
28/08/2022;6021118;633;5
29/08/2022;6021735;617;6
30/08/2022;6026158;4423;44
31/08/2022;6030546;4388;36
01/09/2022;6033960;3414;44
02/09/2022;6037128;3168;35
03/09/2022;6039943;2815;33
04/09/2022;6040654;711;0
05/09/2022;6041109;455;0
06/09/2022;6045123;4014;21
07/09/2022;6048231;3108;10
08/09/2022;6048691;460;2
09/09/2022;6051911;3220;21
10/09/2022;6055094;3183;19
11/09/2022;6055708;614;1
12/09/2022;6056142;434;3
13/09/2022;6059011;2869;29
14/09/2022;6062958;3947;26
15/09/2022;6065920;2962;16
16/09/2022;6068932;3012;42
17/09/2022;6070983;2051;31
18/09/2022;6071578;595;1
19/09/2022;6072244;666;2
20/09/2022;6074855;2611;19
21/09/2022;6076896;2041;21
22/09/2022;6079235;2339;32
23/09/2022;6081683;2448;26
24/09/2022;6084326;2643;0
25/09/2022;6084604;278;10
26/09/2022;6084812;208;1
27/09/2022;6087468;2656;0
28/09/2022;6089888;2420;0
29/09/2022;6092896;3008;0
30/09/2022;6096112;3216;0
01/10/2022;6099193;3081;191
02/10/2022;6099539;346;59
03/10/2022;6099661;122;2
04/10/2022;6102630;2969;57
05/10/2022;6105805;3175;63
06/10/2022;6108335;2530;73
07/10/2022;6110305;1970;43
08/10/2022;6112706;2401;22
09/10/2022;6112986;280;7
10/10/2022;6113201;215;2
11/10/2022;6115707;2506;29
12/10/2022;6118349;2642;50
13/10/2022;6118357;8;20
14/10/2022;6120384;2027;30
15/10/2022;6122233;1849;0
16/10/2022;6122233;0;0
17/10/2022;6122754;521;35
18/10/2022;6124591;1837;47
19/10/2022;6126367;1776;37
20/10/2022;6126367;0;0
21/10/2022;6126367;0;0
22/10/2022;6131859;5492;49
23/10/2022;6132040;181;9
24/10/2022;6132167;127;5
25/10/2022;6134532;2365;17
