Categoria: Todas as categorias

Mês,sorvete: (Brasil)
2017-01,83
2017-02,80
2017-03,61
2017-04,53
2017-05,48
2017-06,45
2017-07,48
2017-08,55
2017-09,78
2017-10,72
2017-11,70
2017-12,94
2018-01,77
2018-02,71
2018-03,65
2018-04,52
2018-05,48
2018-06,41
2018-07,52
2018-08,52
2018-09,66
2018-10,59
2018-11,73
2018-12,96
2019-01,100
2019-02,73
2019-03,59
2019-04,51
2019-05,45
2019-06,44
2019-07,45
2019-08,52
2019-09,71
2019-10,75
2019-11,68
2019-12,84
2020-01,75
2020-02,65
2020-03,58
2020-04,56
2020-05,52
2020-06,54
2020-07,54
2020-08,59
2020-09,86
2020-10,87
2020-11,62
2020-12,77
2021-01,76
2021-02,69
2021-03,62
2021-04,50
2021-05,46
2021-06,42
2021-07,42
2021-08,55
2021-09,76
2021-10,59
2021-11,59
2021-12,71
2022-01,82
2022-02,70
2022-03,69
2022-04,56
2022-05,44
2022-06,44
2022-07,54
2022-08,52
2022-09,58
2022-10,65
2022-11,65
